Dish Name,Category,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Gobhi,Dry Sabzis (Stir-Fries),278.29,3.59,0.56,29.11,0.29,0.57,69.22,12.37,0.3,27.52,37.66
Dum aloo,Dry Sabzis (Stir-Fries),682.33,3.33,0.7,74.01,0.71,0.68,183.85,16.49,0.36,29.39,34.41
Dahi aloo,Dry Sabzis (Stir-Fries),59.9,7.15,1.56,2.72,1.82,1.19,51.99,36.36,0.47,42.93,44.72
Aloo gobhi,Dry Sabzis (Stir-Fries),106.18,5.99,1.9,8.13,0.44,3.02,254.76,22.87,1.07,61.11,55.94
Aloo methi,Dry Sabzis (Stir-Fries),135.15,8.47,2.25,10.04,0.54,2.93,221.93,107.8,2.53,68.76,73.14
Aloo matar,Dry Sabzis (Stir-Fries),100.92,9.74,3.48,5.13,1.86,3.61,154.83,21.1,1.02,70.01,88.11
Aloo bonda,Dry Sabzis (Stir-Fries),632.84,4.53,1.09,67.8,0.27,0.83,132.53,6.79,0.37,8.96,16.02
Palak aloo,Dry Sabzis (Stir-Fries),57.17,5.91,1.63,2.82,0.93,2.04,62.46,43.67,1.59,78.73,242
Sookhe aloo,Dry Sabzis (Stir-Fries),103.15,14.38,1.62,4.18,0.33,1.88,199.99,17.2,0.83,23.23,15.7
Aloo pakoda,Dry Sabzis (Stir-Fries),677.19,6.04,1.9,71.84,0.22,1.03,63.38,6.59,0.38,18.53,109.12
Palak burfi,Dry Sabzis (Stir-Fries),121.17,12.76,2.71,6.81,12.12,1.17,27.77,93.68,1.05,8.57,39.63
Aloo canjee,Dry Sabzis (Stir-Fries),16.26,2.69,0.44,0.39,0.1,0.43,35.99,5.21,0.22,7.72,6.77
Palak pakoda,Dry Sabzis (Stir-Fries),712.62,4.68,1.96,76.38,0.2,1.02,69.54,10.99,0.52,12.12,153.51
Bhindi sabzi,Dry Sabzis (Stir-Fries),110.81,4.5,1.83,9.27,1.42,3.57,92.78,67.88,0.88,29.07,85.27
Papaya thoran,Dry Sabzis (Stir-Fries),132.75,5.58,1.54,11.42,3.82,4.31,270.56,33.74,0.82,25.38,43.68
Bharwa bhindi,Dry Sabzis (Stir-Fries),94.34,3.85,2.08,7.66,0.48,4.15,210.03,86.89,1.18,22.65,63.97
Matar ka soup,Dry Sabzis (Stir-Fries),39.81,3.63,11.06,12.9,0.87,2.49,10958.11,46.63,2.18,41.12,65.46
Palak ka soup,Dry Sabzis (Stir-Fries),32.59,3.03,10.54,14.26,0.29,1.98,12088.21,56.23,2.68,30.99,150.94
Aloo ki sabzi,Dry Sabzis (Stir-Fries),89.56,10.42,1.52,4.47,1.58,2.42,78.4,23.74,0.97,42.18,35.58
Karare bhindi,Dry Sabzis (Stir-Fries),657.76,4.35,1.91,70.4,0.26,1.75,40.42,27.61,0.56,18.14,90.04
Palak khichri,Dry Sabzis (Stir-Fries),102.18,17.35,3.43,1.91,0.21,1.56,69.59,10.43,0.65,3.03,28.15
Bharwa baingan,Dry Sabzis (Stir-Fries),93,3.96,1.53,7.73,0.92,4.09,212.88,24.37,0.75,1.13,17.11
Bharwa tamatar,Dry Sabzis (Stir-Fries),93.35,6.19,3.28,6.06,2.68,2.2,165.85,59.16,0.62,28.23,37.42
Matar mushroom,Dry Sabzis (Stir-Fries),93.3,7.41,3.87,5.16,1.82,3.86,155.48,22.7,0.97,58.44,84.49
Matar ki sabzi,Dry Sabzis (Stir-Fries),102.99,9.2,4.51,5.11,1.98,4.44,154.75,24.48,1.2,77.64,107.74
Sarson ka saag,Dry Sabzis (Stir-Fries),87.84,5.33,3,5.86,0.75,3.69,165.45,134.41,2.43,59.58,128.42
Aloo ka salaad,Dry Sabzis (Stir-Fries),89.91,11.19,1.4,4.4,3.94,1.32,125.01,25.61,0.99,58.78,52.72
Mushroom matar,Dry Sabzis (Stir-Fries),70.77,5.33,2.79,4.11,1.39,3.13,61.63,21.42,0.81,39.15,54.07
Palak mushroom,Dry Sabzis (Stir-Fries),47.63,2.95,1.94,2.96,1,2.27,70.97,49.75,1.69,60.21,232.9
Aloo ka achaar,Dry Sabzis (Stir-Fries),369.14,7.87,2.07,36.46,0.82,2.21,213.73,48.46,1.12,10.14,8.16
Tamatar ka soup,Dry Sabzis (Stir-Fries),80.07,3.45,4.79,12.22,1.44,1.96,5135.74,29.05,1.14,53.16,43.91
Kathal ki sabzi,Dry Sabzis (Stir-Fries),625.4,3.4,0.69,67.6,2.59,1.02,58.95,9.85,0.27,14.11,32.14
Aloo ka parantha,Dry Sabzis (Stir-Fries),205.04,23.92,3.7,10.22,1.15,4.18,127.2,17.38,1.52,7.98,14.96
Aloo bukhara jam,Dry Sabzis (Stir-Fries),178.89,46.2,0.31,0.19,45.25,1,2.67,7.5,0.2,,
Matar ka parantha,Dry Sabzis (Stir-Fries),190.73,21.51,5.59,8.8,1.29,5.61,109.99,23.49,1.78,17.8,33.64
Shimla mirch aloo,Dry Sabzis (Stir-Fries),125.53,8.72,1.41,9.33,0.54,2.02,277.92,16.45,0.86,81.26,39.8
Nutrinugget matar,Dry Sabzis (Stir-Fries),82.62,5.82,3.03,5.11,1.64,2.86,70.97,20.32,0.99,39.15,52.1
Baingan ka achaar,Dry Sabzis (Stir-Fries),139.01,4.23,2.24,12.98,1.07,4.62,3507.59,37.28,2.16,,
Baingan ka bhartha,Dry Sabzis (Stir-Fries),65.12,4.4,1.38,4.48,1.82,3.27,132.15,17.85,0.48,24.05,92.42
Vegetables stir fry,Dry Sabzis (Stir-Fries),30.78,3.19,1.04,1.47,0.86,1.37,55,13.3,0.34,38.17,61.93
Sabziyoon ka achaar,Dry Sabzis (Stir-Fries),211.2,7.48,1.9,19.68,2.77,2.76,2488.32,42.81,2.12,,
Pattagobhi aur matar,Dry Sabzis (Stir-Fries),63.88,6.24,3.24,2.64,0.97,3.99,253.73,45.5,1.1,54.84,75.95
Matar keema ki sabzi,Dry Sabzis (Stir-Fries),133,6.24,8.43,8.14,1.82,2.96,148.38,35.6,1.35,55.62,85.14
Matar baingan bhartha,Dry Sabzis (Stir-Fries),84.55,5.02,2.05,6.05,1.57,3.63,63.65,19.63,0.63,27.86,82.49
Palak mushroom bhurji,Dry Sabzis (Stir-Fries),158.85,0.59,13.28,11.51,0.1,0.39,227.97,140.31,1.6,2.27,54.24
Curry,Curries & Gravies,124.63,7.03,5.76,8.17,3.81,2.35,123.98,29.82,0.95,26.91,34.04
Egg nog,Curries & Gravies,97.14,8.15,4.78,5.11,8.06,0.02,40.65,102.13,0.43,4.82,41.91
Fish pie,Curries & Gravies,120.9,7.74,9.25,5.77,1.13,0.76,101.8,36.15,0.46,27.02,37.04
Fried egg,Curries & Gravies,223.67,0.31,11.59,19.62,0,0.29,446.96,46.4,1.69,0,24.77
Baked egg,Curries & Gravies,218.85,15.42,11.88,12.65,1.66,1.03,523.29,164.05,1.48,0,35.72
Fish orly,Curries & Gravies,563.7,4.27,5.87,58.18,0.24,0.33,136.37,9.55,0.31,1.35,12.83
Egg sauce,Curries & Gravies,146.85,5.88,5.97,11.08,3.19,0.12,51.54,89.49,0.65,,
Scotch egg,Curries & Gravies,676.89,1.91,4.05,72.62,0.3,0.36,90.67,15.03,0.6,2.59,30.63
Fish tikka,Curries & Gravies,117.33,3.91,16,4.15,1.18,1.18,503.44,31.98,1.41,0.9,4.62
Meat stock,Curries & Gravies,24.48,0,2.1,1.78,0,0,8.62,0.86,0.05,0,6
Anda curry,Curries & Gravies,117.52,4.03,5.38,8.81,1.9,2.09,142.12,41.59,1.52,19.03,44.73
Poached egg,Curries & Gravies,123.87,0.37,11.98,8.19,0.05,0.3,1163.07,48.24,1.75,0,24.77
Lobia curry,Curries & Gravies,148.99,17.88,6.06,5.62,2.51,4.57,355.41,36.8,2.21,15.13,86.78
Tomato fish,Curries & Gravies,489.79,3.18,2.39,51.91,1.35,0.72,91.47,6.46,0.24,75.09,76.88
Deviled egg,Curries & Gravies,98.56,2.23,4.97,7.72,0.82,1.15,117.29,36.84,1.51,18.42,48.39
Fish finger,Curries & Gravies,542.9,4.47,5.66,55.82,0.17,0.34,103.55,11.38,0.38,14.13,34.81
Masala arbi,Curries & Gravies,185.38,16.16,3.01,11.9,0.81,3.1,261.31,32.08,0.99,1.9,20.12
Paneer soup,Curries & Gravies,47.85,2.42,3.22,2.8,1.98,0.28,68.03,82.76,0.3,7.59,106.5
Matar paneer,Curries & Gravies,134.83,9.29,6.61,7.75,3.89,3.3,157.34,105.2,1.08,58.44,127.01
Paneer curry,Curries & Gravies,176.52,8.4,7.8,12.38,6.29,1.4,216.09,189.06,0.81,20.04,95.56
Palak paneer,Curries & Gravies,77.68,4.43,4.03,4.76,2.55,1.91,166.87,113.25,1.85,60.21,267.05
Shahi paneer,Curries & Gravies,156.5,6.64,5.06,12.34,5.01,1.4,215.35,125.38,0.62,30.83,78.58
Palak mutton,Curries & Gravies,80.32,3.45,5.74,4.71,1.42,2.23,121.1,96.88,2.38,88.11,391.34
